category_path,asin
"Arts, Crafts & Sewing -> Art Supplies -> Painting -> Paints",B007WDPQLQ
"Arts, Crafts & Sewing -> Art Supplies -> Painting -> Palette Knives",B004Z1ROK4
"Arts, Crafts & Sewing -> Art Supplies -> Painting -> Palettes & Palette Cups -> Palette Cups",B005V9UNXE
"Arts, Crafts & Sewing -> Art Supplies -> Painting -> Palettes & Palette Cups -> Palettes",B00K5MIINO
"Arts, Crafts & Sewing -> Arts & Crafts 4-for-3 Offer",B0017037GG
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Bead Looms",B004RP8XZS
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Beading Cords & Threads",B003O9LWQK
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Beading Hardware",B00F1GBR46
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Beading Kits",B005HQH8KM
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Beading Tools",B000RB0FH0
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Beads & Bead Assortments",B00GVGVSL2
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Casting Metals",B009JNERZI
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Charms",B0043BOS5U
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Earring Backs",B00BMJ99W8
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Jewelry Findings -> Jewelry Clasps",B007RF9ZEI
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Jewelry Findings -> Jump Rings",B00326SK9C
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Jewelry Findings -> Pin Backs",B00FYXADZA
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Jewelry-Making Kits",B00G9953P8
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Jewelry-Making Tools & Accessories -> Jewelry-Making Accessories",B00G3LP4GA
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Jewelry-Making Tools & Accessories -> Jewelry-Making Tools",B00BEHEVVC
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Polishing & Buffing",B007SOGPNM
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Wax Molding Materials",B000HWHXHO
"Arts, Crafts & Sewing -> Beading & Jewelry-Making -> Wire",B000SN9VWW
"Arts, Crafts & Sewing -> Cases & Transport -> Art Supply Totes & Carrier Bags -> Art Supply Carrier Bags",B0044TTW7A
"Arts, Crafts & Sewing -> Cases & Transport -> Art Supply Totes & Carrier Bags -> Art Supply Totes",B00B3SHGFU
"Arts, Crafts & Sewing -> Cases & Transport -> Canvas Carriers",B0054X9Z86
"Arts, Crafts & Sewing -> Cases & Transport -> Portfolios",B007P40Y6Y
"Arts, Crafts & Sewing -> Cases & Transport -> Tool & Sketch Boxes",B00JFOCMB2
"Arts, Crafts & Sewing -> Craft Supplies -> Adhesives -> Adhesive Sheets & Sprays -> Adhesive Sheets",B00C87ADZK
"Arts, Crafts & Sewing -> Craft Supplies -> Adhesives -> Adhesive Sheets & Sprays -> Adhesive Sprays",B00F9LDUVG
"Arts, Crafts & Sewing -> Craft Supplies -> Adhesives -> Adhesive Waxing",B00GK7KAW0
"Arts, Crafts & Sewing -> Craft Supplies -> Adhesives -> Art Glues & Pastes",B00FBG9MES
"Arts, Crafts & Sewing -> Craft Supplies -> Adhesives -> Arts & Crafts Tape",B00AIM47KO
"Arts, Crafts & Sewing -> Craft Supplies -> Adhesives -> Fabric Adhesives",B00ILBTNVC
"Arts, Crafts & Sewing -> Craft Supplies -> Brads",B00ARQRNQ6
"Arts, Crafts & Sewing -> Craft Supplies -> Candle Making -> Dyes",B007VGFYFW
"Arts, Crafts & Sewing -> Craft Supplies -> Candle Making -> Kits",B00AOU0VKK
"Arts, Crafts & Sewing -> Craft Supplies -> Candle Making -> Molds",B00E5B78O6
"Arts, Crafts & Sewing -> Craft Supplies -> Candle Making -> Scents",B0018BP18Q
"Arts, Crafts & Sewing -> Craft Supplies -> Candle Making -> Wax",B00F6SKFMO
"Arts, Crafts & Sewing -> Craft Supplies -> Candle Making -> Wicks",B00JVAPF8W
"Arts, Crafts & Sewing -> Craft Supplies -> Ceramics & Pottery -> Ceramic & Pottery Tools",B0018HMSRC
"Arts, Crafts & Sewing -> Craft Supplies -> Ceramics & Pottery -> Clay Extruders, Mixers & Presses",B00FR7TTBM
"Arts, Crafts & Sewing -> Craft Supplies -> Ceramics & Pottery -> Clay Molds",B00792IS9C
"Arts, Crafts & Sewing -> Craft Supplies -> Ceramics & Pottery -> Clays & Doughs -> Clay",B002Y2J38W
"Arts, Crafts & Sewing -> Craft Supplies -> Ceramics & Pottery -> Glazes",B0019K3CEQ
"Arts, Crafts & Sewing -> Craft Supplies -> Cutting Tools -> Art Knives & Blades",B009F6CI64
"Arts, Crafts & Sewing -> Craft Supplies -> Cutting Tools -> Craft Shears",B007KN0RQM
"Arts, Crafts & Sewing -> Craft Supplies -> Cutting Tools -> Glass Cutting Tools",B00GHH4OO8
"Arts, Crafts & Sewing -> Craft Supplies -> Cutting Tools -> Mat Cutters & Blades",B004S8BP7W
"Arts, Crafts & Sewing -> Craft Supplies -> Cutting Tools -> Scissors",B00114M1A6
"Arts, Crafts & Sewing -> Craft Supplies -> Doll Making",B0092H3ZR2
"Arts, Crafts & Sewing -> Craft Supplies -> Face Painting",B008YD2EAY
"Arts, Crafts & Sewing -> Craft Supplies -> Floral Arranging",B006KY5PNW
"Arts, Crafts & Sewing -> Craft Supplies -> Framing Materials -> Frame Molding",B0033X1E8I
"Arts, Crafts & Sewing -> Craft Supplies -> Framing Materials -> Frame Rulers & Straight Edges",B0044SBA3U
"Arts, Crafts & Sewing -> Craft Supplies -> Framing Materials -> Frame Sections & Parts",B00EUYHT56
"Arts, Crafts & Sewing -> Craft Supplies -> Glitter",B001685G36
"Arts, Crafts & Sewing -> Craft Supplies -> Leathercraft -> Leather Strips, Shapes, & Scraps",B00J5QMGNO
"Arts, Crafts & Sewing -> Craft Supplies -> Leathercraft -> Leathercraft Accessories",B00HSFDWVE
"Arts, Crafts & Sewing -> Craft Supplies -> Leathercraft -> Leathercraft Carving Kits",B00G8MGSBO
"Arts, Crafts & Sewing -> Craft Supplies -> Leathercraft -> Stamping & Punching -> Punching",B00BRH13FQ
"Arts, Crafts & Sewing -> Craft Supplies -> Leathercraft -> Stamping & Punching -> Stamping",B0041XXOPK
"Arts, Crafts & Sewing -> Craft Supplies -> Mosaic Making",B0044SGNCI
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Bookbinding",B004RHQ2I6
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Decoupage",B004VD3JZ0
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Art Tissue & Crepe Paper -> Art Tissue",B000YFOW6Y
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Art Tissue & Crepe Paper -> Crepe Paper",B00CLEX4XS
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Card Stock",B002NHIY5G
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Cellophane Wrap",B006TMRQ7I
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Construction Paper",B004OFBYGQ
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Decorative Paper",B004Y4BYC6
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Drawing Pads & Books",B000JLMY7M
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Kraft Paper",B000638HS8
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Multimedia Surfaces",B0048HCSI8
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Origami Paper",B004XO82CM
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Parchment",B001CH3SHM
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Photo Enhanced Paper",B00006B7Q9
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Printmaking Paper",B0017QFQUK
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Roll Paper",B0027ACHXY
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Stencil Paper",B005LUSWQS
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper -> Transfer Paper",B00941QG6S
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Paper Craft Tools",B004W8VS9I
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Papermaking",B00BHA3OK0
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Punches",B003W0RD5K
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Templates & Stencils -> Stencils",B001K6356O
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Templates & Stencils -> Templates",B00IXWK7BE
"Arts, Crafts & Sewing -> Craft Supplies -> Paper & Paper Crafts -> Vellum",B004W8SCXI
"Arts, Crafts & Sewing -> Craft Supplies -> Purse Making",B0033PCV8I
"Arts, Crafts & Sewing -> Craft Supplies -> Quilling",B007L9KU6C
"Arts, Crafts & Sewing -> Craft Supplies -> Rug Making & Latch Hook -> Rug Making Supplies",B0052UMXFI
"Arts, Crafts & Sewing -> Craft Supplies -> Sculpture Supplies -> Modeling Compounds",B004550JO8
"Arts, Crafts & Sewing -> Craft Supplies -> Sculpture Supplies -> Modeling Tools",B003BXE6QW
"Arts, Crafts & Sewing -> Craft Supplies -> Sculpture Supplies -> Molding & Casting",B00172RK62
"Arts, Crafts & Sewing -> Craft Supplies -> Sculpture Supplies -> Wire Sculpture",B0025U2V82
"Arts, Crafts & Sewing -> Craft Supplies -> Soap Making -> Dyes",B008YGQ4SY
"Arts, Crafts & Sewing -> Craft Supplies -> Soap Making -> Molds",B008DF1XQO
"Arts, Crafts & Sewing -> Craft Supplies -> Soap Making -> Scents",B0019I9N50
"Arts, Crafts & Sewing -> Craft Supplies -> Stained Glass Making",B007EA5UMW
"Arts, Crafts & Sewing -> Craft Supplies -> Weaving -> Ball Winders",B001GZR2Q8
"Arts, Crafts & Sewing -> Craft Supplies -> Weaving -> Weaving Looms",B004RB1CEQ
"Arts, Crafts & Sewing -> Craft Supplies -> Woodcrafts -> Unfinished Wood",B003FU1HUE
"Arts, Crafts & Sewing -> Craft Supplies -> Woodcrafts -> Wood Burning Tools",B007QN9AK0
"Arts, Crafts & Sewing -> Fabric Care",B00394XZ7O
"Arts, Crafts & Sewing -> Fabric Painting & Dyeing -> Application Tools",B005F9DWRE
"Arts, Crafts & Sewing -> Fabric Painting & Dyeing -> Dyes",B000FNIPAO
"Arts, Crafts & Sewing -> Fabric Painting & Dyeing -> Fabric & Textile Paints",B004AM6B3Y
"Arts, Crafts & Sewing -> Fabric Painting & Dyeing -> Fabric Decorating Kits",B004FW4GP4
"Arts, Crafts & Sewing -> Furniture & Accessories -> Drawing Tables & Boards",B003ZZXXLK
"Arts, Crafts & Sewing -> Furniture & Accessories -> Easels",B000XAQ966
"Arts, Crafts & Sewing -> Furniture & Accessories -> Lighting",B000HF04L8
"Arts, Crafts & Sewing -> Furniture & Accessories -> Sewing Cabinets",B0027Z3N3W
"Arts, Crafts & Sewing -> Furniture & Accessories -> Sewing Room Furniture",B003AKSMES
"Arts, Crafts & Sewing -> Knitting & Crochet -> Crochet Hooks",B004HOTUS8
"Arts, Crafts & Sewing -> Knitting & Crochet -> Crochet Kits",B00COZOP1O
"Arts, Crafts & Sewing -> Knitting & Crochet -> Knitting & Crochet Notions",B0089NI6QK
"Arts, Crafts & Sewing -> Knitting & Crochet -> Knitting Kits",B004C6DSNY
"Arts, Crafts & Sewing -> Knitting & Crochet -> Knitting Needles",B003W0GUZY
"Arts, Crafts & Sewing -> Needlework -> Cross-Stitch -> Aida Cloth",B00266WK40
"Arts, Crafts & Sewing -> Needlework -> Cross-Stitch -> Counted Kits",B002WE1EWU
"Arts, Crafts & Sewing -> Needlework -> Cross-Stitch -> Patterns",B003YWWQKI
"Arts, Crafts & Sewing -> Needlework -> Cross-Stitch -> Stamped Kits",B004QUMSCI
"Arts, Crafts & Sewing -> Needlework -> Embroidery -> Hoops",B000GBT9FA
"Arts, Crafts & Sewing -> Needlework -> Embroidery -> Kits",B00ABL1UH0
"Arts, Crafts & Sewing -> Needlework -> Felt Applique Kits",B0056RVFD8
"Arts, Crafts & Sewing -> Needlework -> Needlepoint -> Kits",B001C1Y0JI
"Arts, Crafts & Sewing -> Needlework -> Needlepoint -> Supplies",B003D23W1G
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Batting",B00172TFOW
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Cutting Mats",B00557418A
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Frames",B0052UN3PW
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Hoops",B0026IUZH2
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Notions",B0018N9676
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Pre-Cut Quilt Squares",B0017REL50
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Quilting Fabric Assortments",B00BLA56YI
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Rotary Cutters",B0001DUJLQ
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Rulers & Ruler Racks",B005KBWYWQ
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Stencils & Templates -> Stencils",B003UZ52SW
"Arts, Crafts & Sewing -> Needlework -> Quilting -> Stencils & Templates -> Templates",B007QNW60Q
"Arts, Crafts & Sewing -> Organization & Storage -> Art Supplies Storage -> Art Media Storage Containers",B007D6I5YW
"Arts, Crafts & Sewing -> Organization & Storage -> Art Supplies Storage -> Art Storage Cabinets",B00BQE968G
"Arts, Crafts & Sewing -> Organization & Storage -> Art Supplies Storage -> Paint Brush Organizers & Holders",B0027ACGOO
"Arts, Crafts & Sewing -> Organization & Storage -> Craft Supplies Storage -> Quilting Storage",B008ZGCYAK
"Arts, Crafts & Sewing -> Organization & Storage -> Craft Supplies Storage -> Scrapbooking Storage",B002FA8AJ6
"Arts, Crafts & Sewing -> Organization & Storage -> Craft Supplies Storage -> Sewing Storage",B002Y2H2GW
"Arts, Crafts & Sewing -> Organization & Storage -> Craft Supplies Storage -> Yarn Storage",B00E83B0TU
"Arts, Crafts & Sewing -> Printmaking -> Embossing -> Accessories",B001BNBGDK
"Arts, Crafts & Sewing -> Printmaking -> Printing Presses & Accessories",B00DP5629K
"Arts, Crafts & Sewing -> Printmaking -> Printmaking Inks",B0093KRTKW
"Arts, Crafts & Sewing -> Printmaking -> Screen Printing -> Screen Printing Kits",B00AQONAHK
"Arts, Crafts & Sewing -> Safety & Cleaning -> Adhesive Removers",B003XNEOYY
"Arts, Crafts & Sewing -> Safety & Cleaning -> Art Tool Cleaners",B001UAOEDS
"Arts, Crafts & Sewing -> Safety & Cleaning -> Protective Clothing & Gear",B00B28ZVVM
"Arts, Crafts & Sewing -> Scrapbooking -> Albums & Refills -> Albums",B001680UZU
"Arts, Crafts & Sewing -> Scrapbooking -> Albums & Refills -> Refills",B002ER01CY
"Arts, Crafts & Sewing -> Scrapbooking -> Chipboard",B007MS39M4
"Arts, Crafts & Sewing -> Scrapbooking -> Die-Cuts & Die-Cut Machines -> Die-Cut Cartridges",B000S16U5K
"Arts, Crafts & Sewing -> Scrapbooking -> Die-Cuts & Die-Cut Machines -> Die-Cut Machines",B008JYC2MI
"Arts, Crafts & Sewing -> Scrapbooking -> Die-Cuts & Die-Cut Machines -> Die-Cuts",B001K7LFEC
"Arts, Crafts & Sewing -> Scrapbooking -> Die-Cuts & Die-Cut Machines -> Embossing Folders",B00AVYBSL0
"Arts, Crafts & Sewing -> Scrapbooking -> Die-Cuts & Die-Cut Machines -> Tools & Accessories",B009MRF3RC
"Arts, Crafts & Sewing -> Scrapbooking -> Embellishments",B00BF6HCI6
"Arts, Crafts & Sewing -> Scrapbooking -> Glue Guns",B005TY1OWU
"Arts, Crafts & Sewing -> Scrapbooking -> Kits",B000SMU6RM
"Arts, Crafts & Sewing -> Scrapbooking -> Scrapbooking Tools",B005NB4DLI
"Arts, Crafts & Sewing -> Scrapbooking -> Stamps & Ink Pads",B004BG3ON4
"Arts, Crafts & Sewing -> Scrapbooking -> Stickers & Sticker Machines",B00CPVVKLK
"Arts, Crafts & Sewing -> Scrapbooking -> Texture Plates",B00A69MKX0
"Arts, Crafts & Sewing -> Sewing -> Bobbins",B005682WCK
"Arts, Crafts & Sewing -> Sewing -> Dress Forms",B001KUUY8M
"Arts, Crafts & Sewing -> Sewing -> Embroidery Machines",B008DM2QBI
"Arts, Crafts & Sewing -> Sewing -> Fasteners -> Belt Making",B001763F9Y
"Arts, Crafts & Sewing -> Sewing -> Fasteners -> Buckles & Zippers -> Buckles",B008O8CVF2
"Arts, Crafts & Sewing -> Sewing -> Fasteners -> Buckles & Zippers -> Zippers",B001DZZUZQ
"Arts, Crafts & Sewing -> Sewing -> Fasteners -> Buttons & Snaps -> Buttons",B000REY6C2
"Arts, Crafts & Sewing -> Sewing -> Fasteners -> Buttons & Snaps -> Snaps",B00A2GZA3E
"Arts, Crafts & Sewing -> Sewing -> Fasteners -> Interlocking Tape",B0013AO2PA
"Arts, Crafts & Sewing -> Sewing -> Fasteners -> Undergarment Sewing",B0027690GU
"Arts, Crafts & Sewing -> Sewing -> Hand Needles -> Hand Sewing Needles",B004NM0AYC
"Arts, Crafts & Sewing -> Sewing -> Machine Needles -> Sewing Machine Needles",B0001DUNQM
"Arts, Crafts & Sewing -> Sewing -> Notions -> Bias Tape",B000AM9ZBI
"Arts, Crafts & Sewing -> Sewing -> Notions -> Elastic",B003WV3UOM
"Arts, Crafts & Sewing -> Sewing -> Notions -> Hem Tape",B0033PAYVY
"Arts, Crafts & Sewing -> Sewing -> Notions -> Interfacing",B004KZ3WJM
"Arts, Crafts & Sewing -> Sewing -> Notions -> Stabilizers",B001EQYYPQ
"Arts, Crafts & Sewing -> Sewing -> Pillow Forms & Foam",B00I80KG0I
"Arts, Crafts & Sewing -> Sewing -> Pins & Pincushions -> Pincushions",B00HLUF8RW
"Arts, Crafts & Sewing -> Sewing -> Pins & Pincushions -> Pins -> Quilting Pins",B007VD8MHW
"Arts, Crafts & Sewing -> Sewing -> Pins & Pincushions -> Pins -> Safety Pins",B00HLW83OK
"Arts, Crafts & Sewing -> Sewing -> Pins & Pincushions -> Pins -> Straight Pins",B00BQH7EA0
"Arts, Crafts & Sewing -> Sewing -> Sergers & Overlock Machines",B0002TUVQ2
"Arts, Crafts & Sewing -> Sewing -> Sewing Baskets",B00E9ND2HC
"Arts, Crafts & Sewing -> Sewing -> Sewing Machine Parts & Accessories -> Attachments",B00DQ9XERS
"Arts, Crafts & Sewing -> Sewing -> Sewing Machine Parts & Accessories -> Carrying Cases",B001P2Q0B0
"Arts, Crafts & Sewing -> Sewing -> Sewing Machine Parts & Accessories -> Memory Cards",B004RKJE1K
"Arts, Crafts & Sewing -> Sewing -> Sewing Machine Parts & Accessories -> Oil",B00A3UUNZO
"Arts, Crafts & Sewing -> Sewing -> Sewing Machine Parts & Accessories -> Parts",B00BFCAEK8
